Protein ID,Accession,Avg. Mass,Description,0 hr Protein Abundance,0.5 hr Protein Abundance,1 hr Protein Abundance,2 hr Protein Abundance,3 hr Protein Abundance,4 hr Protein Abundance,5 hr Protein Abundance,6 hr Protein Abundance,9 hr Protein Abundance,12 hr Protein Abundance,24 hr Protein Abundance,Cellular processes,Protein functions,Reactome pathways
175,Q68FD5|CLH1_MOUSE,191555,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,3949300000,3954200000,4524000000,3953900000,4178300000,4325700000,4681300000,48907000000,4880000000,5219200000,4058000000,"['amyloid-beta clearance by transcytosis', 'autophagy', 'cell division', 'clathrin coat assembly', 'clathrin-dependent endocytosis', 'Golgi organization', 'intracellular protein transport', 'mitotic cell cycle', 'mitotic spindle assembly', 'negative regulation of hyaluronan biosynthetic process', 'negative regulation of protein localization to plasma membrane', 'receptor internalization', 'receptor-mediated endocytosis', 'regulation of mitotic spindle organization', 'retrograde transport, endosome to Golgi', 'synaptic vesicle endocytosis', 'transferrin transport']","['ankyrin binding', 'clathrin light chain binding', 'disordered domain specific binding', 'double-stranded RNA binding', 'heat shock protein binding', 'low-density lipoprotein particle receptor binding', 'peptide binding', 'protein C-terminus binding', 'protein kinase binding', 'structural molecule activity', 'ubiquitin-specific protease binding']","['Retrograde neurotrophin signalling', 'Gap junction degradation', 'Formation of annular gap junctions', 'MHC class II antigen presentation', 'Lysosome Vesicle Biogenesis', 'Golgi Associated Vesicle Biogenesis', 'Recycling pathway of L1', 'WNT5A-dependent internalization of FZD4', 'WNT5A-dependent internalization of FZD2, FZD5 and ROR2', 'Cargo recognition for clathrin-mediated endocytosis', 'Clathrin-mediated endocytosis', 'VLDLR internalisation and degradation', 'LDL clearance']"
82,P52480|KPYM_MOUSE,57845,Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4,3530600000,4093000000,3669400000,3453000000,3602100000,3947100000,4145900000,41313000000,4539400000,5252700000,3892800000,"['animal organ regeneration', 'ATP biosynthetic process', 'cellular response to insulin stimulus', 'glucose metabolic process', 'glycolytic process', 'liver development', 'positive regulation of sprouting angiogenesis', 'programmed cell death', 'protein homotetramerization', 'pyruvate biosynthetic process', 'skeletal muscle tissue regeneration']","['ADP binding', 'ATP binding', 'identical protein binding', 'kinase activity', 'magnesium ion binding', 'potassium ion binding', 'pyruvate kinase activity', 'thyroid hormone binding']","['Neutrophil degranulation', 'Glycolysis']"
305,Q91ZX7|LRP1_MOUSE,504745,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1,968200000,1173600000,1275900000,1020100000,1439800000,1162100000,1123400000,12250000000,998400000,1115200000,1032000000,"['amyloid-beta clearance', 'amyloid-beta clearance by cellular catabolic process', 'amyloid-beta clearance by transcytosis', 'aorta morphogenesis', 'apoptotic cell clearance', 'astrocyte activation involved in immune response', 'cardiac septum development', 'cell population proliferation', 'cellular lipid catabolic process', 'cellular response to amyloid-beta', 'chemoattraction of axon', 'cholesterol metabolic process', 'coronary vasculature development', 'lysosomal transport', 'negative regulation of apoptotic process', 'negative regulation of cell death', 'negative regulation of cell-substrate adhesion', 'negative regulation of cytosolic calcium ion concentration', 'negative regulation of focal adhesion assembly', 'negative regulation of neuron apoptotic process', 'negative regulation of neuron projection development', 'negative regulation of platelet-derived growth factor receptor-beta signaling pathway', 'negative regulation of smooth muscle cell migration', 'negative regulation of Wnt signaling pathway', 'phagocytosis', 'positive regulation of axon extension', 'positive regulation of axon extension involved in regeneration', 'positive regulation of cell death', 'positive regulation of chemokine (C-C motif) ligand 2 secretion', 'positive regulation of cholesterol efflux', 'positive regulation of cholesterol import', 'positive regulation of collateral sprouting of injured axon', 'positive regulation of cytosolic calcium ion concentration', 'positive regulation of endocytosis', 'positive regulation of ERK1 and ERK2 cascade', 'positive regulation of insulin secretion involved in cellular response to glucose stimulus', 'positive regulation of lipid transport', 'positive regulation of lysosomal protein catabolic process', 'positive regulation of neuron projection development', 'positive regulation of phagocytosis', 'positive regulation of protein binding', 'positive regulation of protein localization to plasma membrane', 'positive regulation of protein transport', 'positive regulation of Schwann cell migration', 'positive regulation of vascular associated smooth muscle cell migration', 'protein kinase C-activating G protein-coupled receptor signaling pathway', 'receptor-mediated endocytosis', 'regulation of actin cytoskeleton organization', 'regulation of cholesterol transport', 'regulation of phospholipase A2 activity']","['alpha-2 macroglobulin receptor activity', 'apolipoprotein binding', 'calcium ion binding', 'cargo receptor activity', 'clathrin heavy chain binding', 'coreceptor activity', 'protease binding', 'protein-containing complex binding']",[]
74,P10107|ANXA1_MOUSE,38734,Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2,9102300000,11697000000,12080000000,10364200000,10801000000,12284700000,12130700000,1.14E+11,12271000000,13893000000,12095000000,"['actin cytoskeleton reorganization', 'adaptive immune response', 'alpha-beta T cell differentiation', 'arachidonic acid secretion', 'cell surface receptor signaling pathway', 'cellular response to glucocorticoid stimulus', 'cellular response to hydrogen peroxide', 'cellular response to vascular endothelial growth factor stimulus', 'DNA duplex unwinding', 'endocrine pancreas development', 'estrous cycle', 'G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger', 'gliogenesis', 'granulocyte chemotaxis', 'hepatocyte differentiation', 'inflammatory response', 'innate immune response', 'insulin secretion', 'keratinocyte differentiation', 'monocyte chemotaxis', 'myoblast migration involved in skeletal muscle regeneration', 'negative regulation of exocytosis', 'negative regulation of interleukin-8 secretion', 'negative regulation of phospholipase A2 activity', 'negative regulation of protein secretion', 'negative regulation of T-helper 2 cell differentiation', 'neutrophil clearance', 'neutrophil homeostasis', 'peptide cross-linking', 'phagocytosis', 'positive regulation of apoptotic process', 'positive regulation of cell migration involved in sprouting angiogenesis', 'positive regulation of G1/S transition of mitotic cell cycle', 'positive regulation of interleukin-2 production', 'positive regulation of neutrophil apoptotic process', 'positive regulation of prostaglandin biosynthetic process', 'positive regulation of T cell proliferation', 'positive regulation of T-helper 1 cell differentiation', 'positive regulation of vesicle fusion', 'positive regulation of wound healing', 'prolactin secretion', 'prostate gland development', 'regulation of cell population proliferation', 'regulation of cell shape', 'regulation of hormone secretion', 'regulation of inflammatory response', 'regulation of interleukin-1 production', 'regulation of leukocyte migration', 'response to drug', 'response to estradiol', 'response to interleukin-1', 'response to peptide hormone', 'response to X-ray', 'signal transduction']","['calcium ion binding', 'calcium-dependent phospholipid binding', 'calcium-dependent protein binding', 'DNA/DNA annealing activity', 'double-stranded DNA-dependent ATPase activity', 'phospholipase A2 inhibitor activity', 'phospholipid binding', 'protein binding, bridging', 'protein homodimerization activity', 'single-stranded DNA binding', 'single-stranded RNA binding', 'structural molecule activity']","['G alpha (q) signalling events', 'G alpha (i) signalling events', 'Formyl peptide receptors bind formyl peptides and many other ligands']"
286,Q9JKF1|IQGA1_MOUSE,188741,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2,3997000000,4527000000,4755000000,3810200000,4373000000,4416000000,4264000000,46790000000,5038000000,5491000000,4373000000,"['cell migration', 'cellular response to calcium ion', 'cellular response to epidermal growth factor stimulus', 'cellular response to fibroblast growth factor stimulus', 'cellular response to platelet-derived growth factor stimulus', 'epidermal growth factor receptor signaling pathway', 'fibroblast growth factor receptor signaling pathway', 'glomerular visceral epithelial cell development', 'negative regulation of dephosphorylation', 'neuron projection extension', 'platelet-derived growth factor receptor signaling pathway', 'positive regulation of cellular protein localization', 'positive regulation of dendrite development', 'positive regulation of focal adhesion assembly', 'positive regulation of MAP kinase activity', 'positive regulation of peptidyl-tyrosine autophosphorylation', 'positive regulation of protein kinase activity', 'positive regulation of vascular associated smooth muscle cell migration', 'regulation of cytokine production', 'regulation of GTPase activity', 'regulation of mitotic cell cycle', 'response to angiotensin']","['calmodulin binding', 'mitogen-activated protein kinase binding', 'phosphatidylinositol-3,4,5-trisphosphate binding', 'protein domain specific binding', 'protein kinase binding', 'protein phosphatase binding', 'protein serine/threonine kinase activator activity', 'protein-containing complex binding', 'protein-containing complex scaffold activity', 'Rac GTPase binding', 'Rho GTPase binding', 'S100 protein binding', 'small GTPase binding']","['Nephrin family interactions', 'RHO GTPases activate IQGAPs', 'MAP2K and MAPK activation', 'Neutrophil degranulation']"
15,P58252|EF2_MOUSE,95314,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2,590980000,626280000,657600000,637000000,621800000,588360000,751230000,8310000000,849700000,864880000,725928000,"['aging', 'cellular response to brain-derived neurotrophic factor stimulus', 'glial cell proliferation', 'hematopoietic progenitor cell differentiation', 'positive regulation of cytoplasmic translation', 'positive regulation of translation', 'response to endoplasmic reticulum stress', 'response to estradiol', 'response to ethanol', 'response to folic acid', 'response to hydrogen peroxide', 'response to ischemia', 'skeletal muscle cell differentiation', 'skeletal muscle contraction', 'translational elongation']","['5S rRNA binding', 'actin filament binding', 'GTP binding', 'GTPase activity', 'p53 binding', 'protein kinase binding', 'ribosome binding', 'RNA binding', 'translation elongation factor activity']","['Peptide chain elongation', 'Synthesis of diphthamide-EEF2', 'Neutrophil degranulation', 'Protein methylation']"
7,P09411|PGK1_MOUSE,44550,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4,570659000,624840000,701830000,510629000,621935000,589300000,620070000,5328730000,644360000,694080000,500570000,"['carbohydrate metabolic process', 'cellular response to hypoxia', 'epithelial cell differentiation', 'gluconeogenesis', 'glycolytic process', 'negative regulation of angiogenesis', 'phosphorylation', 'plasminogen activation', 'positive regulation of oxidative phosphorylation']","['ADP binding', 'ATP binding', 'phosphoglycerate kinase activity', 'protein-disulfide reductase activity']",['Gluconeogenesis']
129,P11499|HS90B_MOUSE,83281,Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3,242180000,258000000,241250000,171180000,233200000,226800000,191800000,3144400000,211900000,179900000,133900000,"['axon extension', 'cellular response to interleukin-4', 'central nervous system neuron axonogenesis', 'chaperone-mediated protein complex assembly', 'establishment of cell polarity', 'negative regulation of apoptotic process', 'negative regulation of cell cycle arrest', 'negative regulation of complement-dependent cytotoxicity', 'negative regulation of neuron apoptotic process', 'negative regulation of proteasomal protein catabolic process', 'negative regulation of proteasomal ubiquitin-dependent protein catabolic process', 'negative regulation of protein metabolic process', 'negative regulation of transforming growth factor beta activation', 'placenta development', 'positive regulation of cell differentiation', 'positive regulation of cell size', 'positive regulation of cyclin-dependent protein kinase activity', 'positive regulation of nitric oxide biosynthetic process', 'positive regulation of peptidyl-serine phosphorylation', 'positive regulation of phosphoprotein phosphatase activity', 'positive regulation of protein binding', 'positive regulation of protein kinase B signaling', 'positive regulation of protein localization to cell surface', 'positive regulation of protein serine/threonine kinase activity', 'positive regulation of telomerase activity', 'positive regulation of transforming growth factor beta receptor signaling pathway', 'protein folding', 'regulation of cellular protein localization', 'regulation of interferon-gamma-mediated signaling pathway', 'regulation of protein ubiquitination', 'regulation of type I interferon-mediated signaling pathway', 'response to organic substance', 'supramolecular fiber organization', 'telomerase holoenzyme complex assembly', 'telomere maintenance via telomerase', 'virion attachment to host cell']","['ATP binding', 'ATP-dependent protein binding', 'CTP binding', 'dATP binding', 'disordered domain specific binding', 'DNA polymerase binding', 'double-stranded RNA binding', 'drug binding', 'GTP binding', 'heat shock protein binding', 'histone deacetylase binding', 'histone methyltransferase binding', 'identical protein binding', 'ion channel binding', 'kinase binding', 'nitric-oxide synthase regulator activity', 'peptide binding', 'protein dimerization activity', 'protein homodimerization activity', 'protein kinase binding', 'sulfonylurea receptor binding', 'tau protein binding', 'TPR domain binding', 'ubiquitin protein ligase binding', 'unfolded protein binding', 'UTP binding']","['Regulation of actin dynamics for phagocytic cup formation', 'HSP90 chaperone cycle for steroid hormone receptors (SHR)', 'HSF1 activation', 'Attenuation phase', 'HSF1-dependent transactivation', 'Sema3A PAK dependent Axon repulsion', 'Neutrophil degranulation', 'The NLRP3 inflammasome', 'The role of GTSE1 in G2/M progression after G2 checkpoint', 'Aryl hydrocarbon receptor signalling', 'ESR-mediated signaling', 'Estrogen-dependent gene expression']"
138,Q61233|PLSL_MOUSE,70149,Plastin-2 OS=Mus musculus GN=Lcp1 PE=1 SV=4,4647500000,5678600000,6514500000,5276800000,5330800000,6089300000,5812400000,55717000000,6273500000,7201700000,5170700000,"['actin filament bundle assembly', 'actin filament network formation', 'animal organ regeneration', 'cell migration', 'extracellular matrix disassembly', 'positive regulation of podosome assembly', 'protein kinase A signaling', 'regulation of intracellular protein transport', 'response to wounding', 'T cell activation involved in immune response']","['actin filament binding', 'calcium ion binding', 'GTPase binding', 'identical protein binding', 'integrin binding']",[]
78,P16858|G3P_MOUSE,35810,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2,2674470000,2978930000,2944950000,2678000000,3081700000,3697855000,2531500000,35778500000,2584290000,3895200000,2967150000,"['antimicrobial humoral immune response mediated by antimicrobial peptide', 'apoptotic process', 'cAMP-mediated signaling', 'carbohydrate metabolic process', 'cellular response to interferon-gamma', 'defense response to fungus', 'gluconeogenesis', 'glycolytic process', 'killing by host of symbiont cells', 'killing of cells of other organism', 'microtubule cytoskeleton organization', 'multicellular organism development', 'negative regulation of endopeptidase activity', 'negative regulation of translation', 'negative regulation of vascular associated smooth muscle cell apoptotic process', 'neuron apoptotic process', 'peptidyl-cysteine S-trans-nitrosylation', 'positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction', 'positive regulation of cytokine secretion', 'protein homotetramerization', 'protein stabilization', 'response to ammonium ion']","['aspartic-type endopeptidase inhibitor activity', 'disordered domain specific binding', 'enzyme binding', 'glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity', 'identical protein binding', 'microtubule binding', 'NAD binding', 'NADP binding', 'peptidyl-cysteine S-nitrosylase activity', 'protein homodimerization activity']",[]
14,Q91VI7|RINI_MOUSE,49817,Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1,4551500000,5699800000,5990500000,5244300000,5558100000,5871400000,5958500000,53615000000,6086300000,6574700000,5555400000,['regulation of angiogenesis'],['ribonuclease inhibitor activity'],[]
304,E9Q555|RN213_MOUSE,584791,E3 ubiquitin-protein ligase RNF213 OS=Mus musculus GN=Rnf213 PE=1 SV=2,901500000,1022500000,1121600000,949800000,1059200000,1053500000,1078700000,12340000000,1168600000,1142200000,1082500000,"['angiogenesis', 'negative regulation of non-canonical Wnt signaling pathway', 'protein autoubiquitination', 'protein homooligomerization', 'protein ubiquitination', 'sprouting angiogenesis', 'ubiquitin-dependent protein catabolic process']","['ATPase activity', 'metal ion binding', 'ubiquitin-protein transferase activity']",['Antigen processing: Ubiquitination & Proteasome degradation']
135,P40124|CAP1_MOUSE,51565,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4,6499800000,6376800000,7130700000,6369000000,6920000000,6560000000,7695000000,71890000000,7722000000,8319000000,6754800000,"['actin cytoskeleton organization', 'actin polymerization or depolymerization', 'ameboidal-type cell migration', 'cell morphogenesis', 'establishment or maintenance of cell polarity', 'receptor-mediated endocytosis']","['actin binding', 'adenylate cyclase binding']",['Neutrophil degranulation']
79,P05064|ALDOA_MOUSE,39356,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2,9379500000,9699400000,9752670000,9882800000,9841800000,11543500000,12181740000,1.26E+11,13104800000,13866400000,9657080000,"['ATP biosynthetic process', 'binding of sperm to zona pellucida', 'fructose 1,6-bisphosphate metabolic process', 'fructose metabolic process', 'glycolytic process', 'glycolytic process through fructose-6-phosphate', 'methylglyoxal biosynthetic process', 'muscle cell cellular homeostasis', 'positive regulation of cell migration', 'protein homotetramerization', 'regulation of cell shape', 'striated muscle contraction']","['cytoskeletal protein binding', 'fructose binding', 'fructose-bisphosphate aldolase activity', 'identical protein binding', 'protease binding']","['Platelet degranulation', 'Neutrophil degranulation', 'Gluconeogenesis']"
150,P08113|ENPL_MOUSE,92476,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2,1028100000,1394200000,1323417000,1174865000,1227941000,1228500000,1025558000,11360340000,1178946000,1309407000,1158856000,"['actin rod assembly', 'cellular response to ATP', 'negative regulation of apoptotic process', 'protein folding', 'regulation of phosphoprotein phosphatase activity', 'response to hypoxia', 'retrograde protein transport, ER to cytosol', 'ubiquitin-dependent ERAD pathway']","['ATP binding', 'low-density lipoprotein particle receptor binding', 'protein phosphatase binding', 'RNA binding', 'unfolded protein binding']","['Trafficking and processing of endosomal TLR', 'Scavenging by Class A Receptors', 'Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)', 'Interleukin-4 and Interleukin-13 signaling', 'Post-translational protein phosphorylation']"
316,P26041|MOES_MOUSE,67767,Moesin OS=Mus musculus GN=Msn PE=1 SV=3,1086380000,1360725000,1163013000,997560000,1315019000,1400550000,1466610000,10408000000,1332709000,1640895000,1772421000,"['cellular response to testosterone stimulus', 'establishment of endothelial barrier', 'establishment of epithelial cell apical/basal polarity', 'gland morphogenesis', 'immunological synapse formation', 'membrane to membrane docking', 'positive regulation of cellular protein catabolic process', 'positive regulation of early endosome to late endosome transport', 'positive regulation of gene expression', 'positive regulation of podosome assembly', 'positive regulation of protein localization to early endosome', 'regulation of cell shape', 'regulation of cell size', 'regulation of lymphocyte migration', 'regulation of organelle assembly', 'T cell aggregation', 'T cell migration', 'T cell proliferation']","['actin binding', 'cell adhesion molecule binding', 'double-stranded RNA binding', 'enzyme binding', 'protein kinase binding', 'signaling receptor binding']",['Recycling pathway of L1']
